Header,Header
manufacturer_sku,manufacturer_sku
ean13,ean13
width,weight
length,length
height,width
weight,height
cost_price,prop_65
min_price,cost_price
product__product_class__name,min_price
product__brand__name,made_to_order
product__title,product__product_class__name
product__description,product__brand__name
product__bullets_0,product__title
product__bullets_1,product__description
product__bullets_2,product__bullets__0
product__bullets_3,product__bullets__1
product__bullets_4,product__bullets__2
product__bullets_5,product__bullets__3
product__bullets_6,product__bullets__4
product__multipack_quantity,product__bullets__5
product__country_of_origin__alpha_3,product__bullets__6
attrib__arm_height,product__configuration__codes
attrib__bulb_included,product__multipack_quantity
attrib__bulb_type,product__country_of_origin__alpha_3
attrib__color,product__parent_sku
attrib__cord_length,attrib__arm_height
attrib__designer,attrib__assembly_required
attrib__finish,attrib__back_material
attrib__kit,attrib__blade_finish
attrib__material,attrib__bulb_included
attrib__number_bulbs,attrib__bulb_type
attrib__outdoor_safe,attrib__color
attrib__pile_height,attrib__cord_length
attrib__seat_height,attrib__design_id
attrib__switch_type,attrib__designer
attrib__ul_certified,attrib__distressed_finish
attrib__wattage,attrib__fill
attrib__weight_capacity,attrib__finish
boxes__0__weight,attrib__frame_color
boxes__0__length,attrib__hardwire
boxes__0__height,attrib__kit
boxes__0__width,attrib__leg_color
boxes__1__weight,attrib__leg_finish
boxes__1__length,attrib__material
boxes__1__height,attrib__number_bulbs
boxes__1__width,attrib__orientation
boxes__2__weight,attrib__outdoor_safe
boxes__2__length,attrib__pile_height
boxes__2__height,attrib__seat_depth
boxes__2__width,attrib__seat_height
product__styles,attrib__seat_width
,attrib__shade
,attrib__size
,attrib__switch_type
,attrib__ul_certified
,attrib__warranty_years
,attrib__wattage
,attrib__weave
,attrib__weight_capacity
,boxes__0__weight
,boxes__0__length
,boxes__0__height
,boxes__0__width
,boxes__1__weight
,boxes__1__length
,boxes__1__height
,boxes__1__width
,boxes__2__weight
,boxes__2__length
,boxes__2__height
,boxes__2__width
,boxes__3__weight
,boxes__3__length
,boxes__3__height
,boxes__3__width
,product__styles
